"ADM3_FR","population","pop_malade"
"Abong-Mbang",40934.28125,14628.181640625
"Afanloum",3442.71606445312,1447.74353027344
"Ako",33204.4609375,9554.703125
"Akoeman",8750.6357421875,3915.84790039062
"Akom 2",13346.138671875,6134.14697265625
"Akono",13826.283203125,6200.15478515625
"Akonolinga",77040.171875,26204.158203125
"Akwaya",35409.2890625,10355.73828125
"Alou",17685.900390625,2885.52954101562
"Ambam",63228.04296875,25861.185546875
"Assamba",8255.6025390625,3191.10302734375
"Awae",38160.6796875,13564.5400390625
"Ayos",50997.8046875,18857.22265625
"Babadjou",61938.40625,6035.94287109375
"Babessi",48558.02734375,6907.0498046875
"Bafang",23711.640625,3029.86645507812
"Bafia",82314.7578125,21299.20703125
"Bafoussam 1er",149882.140625,15022.5322265625
"Bafoussam 2e",147159.90625,12824.169921875
"Bafoussam 3e",113848.1796875,10442.1533203125
"Bafut",47037.03515625,8439.0771484375
"Baham",62226.37890625,6922.05517578125
"Bakou",6380.880859375,1290.16125488281
"Bali",24210.453125,4305.083984375
"Balikumbat",37064.76171875,5359.04833984375
"Bamenda 1st",29358.6484375,2795.8955078125
"Bamenda 2nd",104848.9296875,13442.9716796875
"Bamenda 3rd",95860.390625,8926.7666015625
"Bamendjou",82901.21875,10338.0361328125
"Bamusso",22316.8203125,3998.2314453125
"Bana",14565.888671875,1895.95434570312
"Bandja",44679.83984375,5981.9267578125
"Bangangte",119004.2734375,17016.640625
"Bangem",22381.34375,3576.99291992188
"Bangou",55738.90625,6321.02685546875
"Bangourain",39411.41796875,6051.56005859375
"Banka",9741.279296875,1231.88256835938
"Bankim",93898.6015625,29249.6015625
"Banwa",12571.3291015625,2336.11669921875
"Banyo",105642.9453125,31968.27734375
"Bare-Bakem",26567.47265625,4993.77587890625
"Bascheo",53001.4296875,12381.0009765625
"Bassamba",5926.3701171875,993.789245605469
"Batcham",147965.25,17217.193359375
"Batchenga",17832.625,6467.5498046875
"Batibo",47971.18359375,9199.1904296875
"Batie",25880.857421875,2996.49926757812
"Batouri",130988.265625,53163.7421875
"Bayangam",45379.875,5407.03515625
"Bazou",29634.59765625,4198.6826171875
"Bebend",16779.357421875,6522.48486328125
"Beka",66039.578125,15005.8994140625
"Belabo",67819.3046875,24271.52734375
"Belel",56626.09765625,8459.2001953125
"Belo",50461.43359375,6465.732421875
"Bengbis",16836.822265625,6612.97705078125
"Bertoua 1er",128160.921875,25277.46875
"Bertoua 2e",146184.6875,28885.453125
"Betare-Oya",109332.5078125,39106.40625
"Bibemi",232871.84375,65141.78125
"Bibey",11176.12890625,4509.3720703125
"Bikok",29345.166015625,11132.373046875
"Bipindi",15739.7294921875,8019.8095703125
"Biwong-Bane",18065.9140625,7555.84619140625
"Biwong-Bulu",14778.4716796875,6957.404296875
"Biyouha",2429.44970703125,1433.34484863281
"Blangoua",67471.4609375,8751.3056640625
"Bogo",149642.34375,36293.453125
"Bokito",49485.15234375,17650.203125
"Bombe",67670.296875,28519.53515625
"Bondjock",7473.26123046875,3547.89038085938
"Bot-Makak",19311.5234375,9971.65625
"Bourrha",99541.1640625,24785.583984375
"Buea",273237.03125,43019.87890625
"Bum",22688.3125,4255.185546875
"Campo",14329.4755859375,4235.205078125
"Darak",99737.625,16492.162109375
"Dargala",57833.59765625,16313.1064453125
"Datcheka",30951.712890625,9399.1044921875
"Dembo",36099.77734375,9998.1826171875
"Demsa",48883.6796875,9208.287109375
"Deuk",20079.939453125,6576.45166015625
"Diang",19527.392578125,6625.384765625
"Dibamba",22462.20703125,7653.84423828125
"Dibang",10997.1572265625,5633.18798828125
"Dibombari",93778.7265625,17755.982421875
"Dikome Balue",8123.72900390625,1982.86938476562
"Dimako",19648.7265625,5865.06494140625
"Dir",33933.6171875,9832.107421875
"Dizangue",25250.037109375,9040.1708984375
"Dja",9791.1435546875,3954.01806640625
"Djebem",26938.96484375,3521.18286132812
"Djohong",56832.5390625,8226.2216796875
"Djoum",46106.1640625,24534.552734375
"Douala 1er",444835.84375,53935.625
"Douala 2e",309974.75,49857.953125
"Douala 3e",1367199.5,220894.59375
"Douala 4e",478178.53125,51327.97265625
"Douala 5e",852202.375,109984.4765625
"Douala 6e",39450.34765625,7399.634765625
"Doumaintang",20543.81640625,8572.248046875
"Doume",16781.515625,6010.98046875
"Dschang",125030.1484375,16083.333984375
"Dzeng",16441.576171875,5955.4677734375
"Ebebda",28790.01953125,11488.67578125
"Ebolowa 1er",38512.00390625,12822.16015625
"Ebolowa 2e",131238.984375,41559.62890625
"Edea 1er",110001.53125,44921.8046875
"Edea 2e",35177.59765625,14149.650390625
"Edzendouan",11365.876953125,4646.64404296875
"Efoulan",16675.6328125,7977.00732421875
"Ekondo Titi",35447.33203125,9112.20703125
"Elig-Mfomo",34956.23046875,16728.83203125
"Endom",21297.529296875,7934.17431640625
"Eseka",27232.626953125,14356.5615234375
"Esse",26894.318359375,11117.443359375
"Evodoula",22983.080078125,11461.60546875
"Eyumodjock",14071.9755859375,4340.9501953125
"Figuil",142721.53125,49069.640625
"Fiko",21485.900390625,4610.2099609375
"Fokoue",19289.935546875,2480.4873046875
"Fongo-Tongo",31161.478515625,4143.15478515625
"Fontem",20813.09765625,3622.32983398438
"Fotokol",77625.15625,11043.5390625
"Foumban",155302.5625,27310.7578125
"Foumbot",133454.234375,21649.443359375
"Fundong",35643.3515625,4996.56201171875
"Fungom",52719.0546875,11346.240234375
"Furu-Awa",10342.7900390625,2569.21704101562
"Galim",52727.23828125,7519.68359375
"Galim-Tignere",28203.208984375,7693.1279296875
"Gari Gombo",21379.240234375,8988.3681640625
"Garoua-Boulai",135875.296875,31843.19921875
"Garoua 1er",207858.203125,34938.671875
"Garoua 2e",220796.28125,35625.54296875
"Garoua 3e",66306.5234375,14114.025390625
"Gazawa",40890.9765625,11592.6337890625
"Gobo",95824.0546875,22416.6015625
"Goulfey",225826.671875,28735.2421875
"Guere",57677.01171875,13827.837890625
"Guider",364033.125,122679.8671875
"Guidiguis",64978.9765625,21523.33203125
"Hile-Alifa",72754.671875,10807.1884765625
"Hina",60535.8046875,16909.43359375
"Idabato",12020.322265625,668.584228515625
"Isangele",7003.13671875,1925.42138671875
"Jakiri",46977.171875,6094.0419921875
"Kaele",182486.96875,60604.71484375
"Kai-Kai",100452.65625,20954
"Kalfou",57166.796875,14728.228515625
"Kar-Hay",80313.6015625,24343.3515625
"Kekem",34248.94140625,5368.77734375
"Kette",74500.796875,32687.154296875
"Kiiki",18594.56640625,5845.099609375
"Kolofata",110529.578125,19398.77734375
"Kombo Abedimo",5708.27978515625,1741.70690917969
"Kombo Itindi",7531.14501953125,1899.5283203125
"Kon Yambetta",10980.337890625,3231.88330078125
"Kontcha",5691.25244140625,1966.94079589844
"Konye",59325.82421875,13931.8515625
"Kouoptamo",54597.546875,8291.365234375
"Kousseri",235290.71875,21050.48828125
"Koutaba",88339.6796875,14965.9619140625
"Koza",95110.9453125,20393.85546875
"Kribi 1er",19567.708984375,5780.39404296875
"Kribi 2e",104343.5859375,30042.712890625
"Kumba 1st",119396,23681.88671875
"Kumba 2nd",95997.828125,15657.0234375
"Kumba 3rd",79481.875,14892.328125
"Kumbo",77816.0859375,8347.9423828125
"Kye-Ossi",36086.78125,10226.2021484375
"Lagdo",209922,59154.58984375
"Lembe Yezoum",7706.8857421875,3072.86083984375
"Limbe 1st",152549.359375,20550.181640625
"Limbe 2nd",137191,14983.982421875
"Limbe 3rd",24077.818359375,3360.88354492188
"Lobo",16871.51171875,7395.24658203125
"Logone-Birni",136280.53125,20021.23828125
"Lokoundje",37332.09765625,14986.033203125
"Lolodorf",15039.8515625,8317.6279296875
"Lomie",26585.265625,10989.0205078125
"Loum",61717.45703125,9440.08203125
"Maan",27044.521484375,11453.9892578125
"Madingring",94637.5859375,7507.0458984375
