"ADM3_FR","population"
"Abong-Mbang",40934.28125
"Afanloum",3442.71606445312
"Ako",33204.4609375
"Akoeman",8750.6357421875
"Akom 2",13346.138671875
"Akono",13826.283203125
"Akonolinga",77040.171875
"Akwaya",35409.2890625
"Alou",17685.900390625
"Ambam",63228.04296875
"Assamba",8255.6025390625
"Awae",38160.6796875
"Ayos",50997.8046875
"Babadjou",61938.40625
"Babessi",48558.02734375
"Bafang",23711.640625
"Bafia",82314.7578125
"Bafoussam 1er",149882.140625
"Bafoussam 2e",147159.90625
"Bafoussam 3e",113848.1796875
"Bafut",47037.03515625
"Baham",62226.37890625
"Bakou",6380.880859375
"Bali",24210.453125
"Balikumbat",37064.76171875
"Bamenda 1st",29358.6484375
"Bamenda 2nd",104848.9296875
"Bamenda 3rd",95860.390625
"Bamendjou",82901.21875
"Bamusso",22336.4375
"Bana",14565.888671875
"Bandja",44679.83984375
"Bangangte",119004.2734375
"Bangem",22381.34375
"Bangou",55738.90625
"Bangourain",39411.41796875
"Banka",9741.279296875
"Bankim",93980.609375
"Banwa",12571.3291015625
"Banyo",105649.359375
"Bare-Bakem",26567.47265625
"Bascheo",53001.4296875
"Bassamba",5926.3701171875
"Batcham",147965.25
"Batchenga",17832.625
"Batibo",47971.18359375
"Batie",25880.857421875
"Batouri",130988.265625
"Bayangam",45379.875
"Bazou",29634.59765625
"Bebend",16779.357421875
"Beka",66053.8203125
"Belabo",67819.3046875
"Belel",56626.09765625
"Belo",50461.43359375
"Bengbis",16836.822265625
"Bertoua 1er",128160.921875
"Bertoua 2e",146184.6875
"Betare-Oya",109332.5078125
"Bibemi",232884.578125
"Bibey",11176.12890625
"Bikok",29345.166015625
"Bipindi",15739.7294921875
"Biwong-Bane",18065.9140625
"Biwong-Bulu",14778.4716796875
"Biyouha",2429.44970703125
"Blangoua",67545.8828125
"Bogo",149642.34375
"Bokito",49485.15234375
"Bombe",67670.296875
"Bondjock",7473.26123046875
"Bot-Makak",19311.5234375
"Bourrha",99578.1328125
"Buea",273237.03125
"Bum",22688.3125
"Campo",14329.4755859375
"Darak",99737.625
"Dargala",57833.59765625
"Datcheka",30951.712890625
"Dembo",36099.77734375
"Demsa",48883.6796875
"Deuk",20079.939453125
"Diang",19527.392578125
"Dibamba",22462.20703125
"Dibang",10997.1572265625
"Dibombari",93778.7265625
"Dikome Balue",8123.72900390625
"Dimako",19648.7265625
"Dir",33933.6171875
"Dizangue",25250.037109375
"Dja",9791.1435546875
"Djebem",26938.96484375
"Djohong",56832.5390625
"Djoum",46106.1640625
"Douala 1er",444835.84375
"Douala 2e",309974.75
"Douala 3e",1367199.5
"Douala 4e",478207.6875
"Douala 5e",852202.375
"Douala 6e",39501.14453125
"Doumaintang",20543.81640625
"Doume",16781.515625
"Dschang",125030.1484375
"Dzeng",16441.576171875
"Ebebda",28790.01953125
"Ebolowa 1er",38512.00390625
"Ebolowa 2e",131238.984375
"Edea 1er",110001.53125
"Edea 2e",35177.59765625
"Edzendouan",11365.876953125
"Efoulan",16675.6328125
"Ekondo Titi",35447.33203125
"Elig-Mfomo",34956.23046875
"Endom",21297.529296875
"Eseka",27232.626953125
"Esse",26894.318359375
"Evodoula",22983.080078125
"Eyumodjock",14071.9755859375
"Figuil",142837.484375
"Fiko",21485.900390625
"Fokoue",19289.935546875
"Fongo-Tongo",31161.478515625
"Fontem",20813.09765625
"Fotokol",77625.4921875
"Foumban",155302.5625
"Foumbot",133454.234375
"Fundong",35643.3515625
"Fungom",52719.0546875
"Furu-Awa",10364.7548828125
"Galim",52727.23828125
"Galim-Tignere",28203.576171875
"Gari Gombo",21379.240234375
"Garoua-Boulai",136061.515625
"Garoua 1er",207858.203125
"Garoua 2e",220796.28125
"Garoua 3e",66306.5234375
"Gazawa",40890.9765625
"Gobo",95824.0546875
"Goulfey",225827.375
"Guere",57677.01171875
"Guider",364033.125
"Guidiguis",64978.9765625
"Hile-Alifa",72754.671875
"Hina",60535.8046875
"Idabato",12196.919921875
"Isangele",7003.13671875
"Jakiri",46977.171875
"Kaele",182486.96875
"Kai-Kai",100452.65625
"Kalfou",57166.796875
"Kar-Hay",80313.6015625
"Kekem",34248.94140625
"Kette",74500.796875
"Kiiki",18594.56640625
"Kolofata",110682.546875
"Kombo Abedimo",5725.4638671875
"Kombo Itindi",7556.7080078125
"Kon Yambetta",10980.337890625
"Kontcha",5691.25244140625
"Konye",59325.82421875
"Kouoptamo",54597.546875
"Kousseri",235291.9375
"Koutaba",88339.6796875
"Koza",95110.9453125
"Kribi 1er",19567.708984375
"Kribi 2e",104343.5859375
"Kumba 1st",119396
"Kumba 2nd",95997.828125
"Kumba 3rd",79481.875
"Kumbo",77816.0859375
"Kye-Ossi",36086.78125
"Lagdo",209922
