"ADM2_FR","population"
"Bamboutos",385835.34375
"Bénoué",1660537.5
"Boumba-et-Ngoko",157055.03125
"Boyo",135210.3125
"Bui",261324.828125
"Diamaré",1148280.125
"Dja-et-Lobo",288213.125
"Djérem",220538.625
"Donga-Mantung",264373.96875
"Fako",876637.75
"Faro",129807.53125
"Faro-et-Déo",144984.078125
"Haut-Nkam",145899.796875
"Haut-Nyong",263090.9375
"Haute-Sanaga",167203.234375
"Hauts-Plateaux",226747.359375
"Kadey",377962
"Koung-Khi",186699.546875
"Kupe-Manenguba",122673.953125
"Lebialem",55533.953125
"Lekié",508737.59375
"Logone-et-Chari",1242932.625
"Lom-et-Djérem",709953
"Manyu",177513.640625
"Mayo-Banyo",229333.84375
"Mayo-Danay",938678.8125
"Mayo-Kani",627903.625
"Mayo-Louti",688000.375
"Mayo-Rey",950980.875
"Mayo-Sava",504002.90625
"Mayo-Tsanaga",885110.3125
"Mbam-et-Inoubou",285894.03125
"Mbam-et-Kim",218745.203125
"Mbéré",302816.8125
"Mefou-et-Afamba",809816.75
"Mefou-et-Akono",201673.90625
"Meme",411473.6875
"Menchum",120119.0234375
"Menoua",466846.15625
"Mezam",435743.46875
"Mfoundi",2532759.75
"Mifi",410890.21875
"Momo",136366.84375
"Moungo",609733.8125
"Mvila",288827.5
"Ndé",179968.34375
"Ndian",121532.2265625
"Ngo-Ketunjia",151934.265625
"Nkam",60531.3046875
"Noun",740401.625
"Nyong-et-Kellé",158514.4375
"Nyong-et-Mfoumou",176711.75
"Nyong-et-So'o",147554.296875
"Océan",285969.78125
"Sanaga-Maritime",294058.78125
"Vallée-du-Ntem",137820.546875
"Vina",751573.5
"Wouri",3491841.25
